SU8_Grating_1,,SU8_Grating_2,,SU8_Membrane_2,,KMSF1,
Cross_Section_Deflection,Voltage,Central_Deflection,Voltage,Central_Deflection,Voltage,Central_Deflection um,Voltage
-0.03,0,0.85,0,0.065,0,0.05,0
0.135,25,0.215,42,0.06,20,0.03,23
0.12,48,0.385,92,0.11,70,0.3,44
0.375,78,0.775,140,0.19,94,1.505,70
,96,1.75,186,0.425,124,3.075,96
,114,1.77,190,0.36,142,5.6,118
,134,2.545,240,0.525,162,7.875,142
,160,3.64,282,0.75,188,11.99,166
,180,3.655,300,0.96,210,15.42,190
,204,4.31,315,1.255,234,22.735,212
,234,5.71,342,1.5,254,,
,252,6.01,374,1.85,284,,
,278,,,2.18,304,,
,300,,,2.425,326,,
,334,,,2.96,344,,
,,,,3.475,374,,
